Release date,Season,Episode,Title,Duration in minutes,U.S. viewers in millions,IMDB Rating,Director
20 January 2008,1,1,Pilot,58,1.41,9.1,Vince Gilligan
27 January 2008,1,2,Cat's in the Bag...,48,1.49,8.7,Adam Bernstein
10 February 2008,1,3,...And the Bag's in the River,48,1.08,8.8,Adam Bernstein
17 February 2008,1,4,Cancer Man,48,1.09,8.3,Jim McKay
24 February 2008,1,5,Gray Matter,48,0.97,8.4,Tricia Brock
02 March 2008,1,6,Crazy Handful of Nothin',48,1.07,9.3,Bronwen Hughes
09 March 2008,1,7,A No-Rough-Stuff-Type Deal,48,1.5,8.9,Tim Hunter
08 March 2009,2,1,Seven Thirty-Seven,47,1.66,8.7,Bryan Cranston
15 March 2009,2,2,Grilled,46,1.6,9.3,Charles Haid
22 March 2009,2,3,Bit by a Dead Bee,47,1.13,8.4,Terry McDonough
29 March 2009,2,4,Down,47,1.29,8.3,John Dahl
05 April 2009,2,5,Breakage,47,1.21,8.4,Johan Renck
12 April 2009,2,6,Peekaboo,47,1.41,8.9,Peter Medak
19 April 2009,2,7,Negro y Azul,47,N/A,8.7,Félix Enríquez Alcalá
26 April 2009,2,8,Better Call Saul,47,1.04,9.2,Terry McDonough
03 May 2009,2,9,4 Days Out,47,N/A,9.2,Michelle MacLaren
10 May 2009,2,10,Over,47,N/A,8.6,Phil Abraham
17 May 2009,2,11,Mandala,47,N/A,8.9,Adam Bernstein
24 May 2009,2,12,Phoenix,47,N/A,9.3,Colin Bucksey
31 May 2009,2,13,ABQ,48,1.5,9.3,Adam Bernstein
21 March 2010,3,1,No Más,47,1.95,8.6,Bryan Cranston
28 March 2010,3,2,Caballo sin Nombre,47,1.55,8.7,Adam Bernstein
04 April 2010,3,3,I.F.T.,47,1.33,8.5,Michelle MacLaren
11 April 2010,3,4,Green Light,47,1.46,8.3,Scott Winant
18 April 2010,3,5,Más,47,1.61,8.7,Johan Renck
25 April 2010,3,6,Sunset,47,1.64,9.3,John Shiban
02 May 2010,3,7,One Minute,47,1.52,9.6,Michelle MacLaren
09 May 2010,3,8,I See You,47,1.78,8.8,Colin Bucksey
16 May 2010,3,9,Kafkaesque,47,1.61,8.5,Michael Slovis
23 May 2010,3,10,Fly,47,1.2,7.8,Rian Johnson
30 May 2010,3,11,Abiquiu,47,1.32,8.5,Michelle MacLaren
06 June 2010,3,12,Half Measures,47,1.19,9.5,Adam Bernstein
13 June 2010,3,13,Full Measure,47,1.56,9.7,Vince Gilligan
17 July 2011,4,1,Box Cutter,48,2.58,9.2,Adam Bernstein
24 July 2011,4,2,Thirty-Eight Snub,60,1.97,8.3,Michelle MacLaren
31 July 2011,4,3,Open House,47,1.71,8.1,David Slade
07 August 2011,4,4,Bullet Points,47,1.83,8.7,Colin Bucksey
14 August 2011,4,5,Shotgun,47,1.75,8.7,Michelle MacLaren
21 August 2011,4,6,Cornered,47,1.67,8.5,Michael Slovis
28 August 2011,4,7,Problem Dog,47,1.91,8.9,Peter Gould
04 September 2011,4,8,Hermanos,47,1.98,9.3,Johan Renck
11 September 2011,4,9,Bug,47,1.89,8.9,Terry McDonough
18 September 2011,4,10,Salud,47,1.8,9.6,Michelle MacLaren
25 September 2011,4,11,Crawl Space,45,1.55,9.7,Scott Winant
02 October 2011,4,12,End Times,47,1.73,9.5,Vince Gilligan
09 October 2011,4,13,Face Off,51,1.9,9.9,Vince Gilligan
15 July 2012,5,1,Live Free or Die,43,2.93,9.3,Michael Slovis
22 July 2012,5,2,Madrigal,48,2.29,8.9,Michelle MacLaren
29 July 2012,5,3,Hazard Pay,48,2.2,8.9,Adam Bernstein
05 August 2012,5,4,Fifty-One,48,2.29,8.9,Rian Johnson
12 August 2012,5,5,Dead Freight,48,2.48,9.7,George Mastras
19 August 2012,5,6,Buyout,48,2.81,9.1,Colin Bucksey
26 August 2012,5,7,Say My Name,48,2.98,9.6,Thomas Schnauz
02 September 2012,5,8,Gliding Over All,48,2.78,9.6,Michelle MacLaren
11 August 2013,5,9,Blood Money,48,5.92,9.5,Bryan Cranston
18 August 2013,5,10,Buried,48,4.77,9.2,Michelle MacLaren
25 August 2013,5,11,Confessions,48,4.85,9.6,Michael Slovis
01 September 2013,5,12,Rabid Dog,48,4.41,9.2,Sam Catlin
08 September 2013,5,13,To'hajiilee,47,5.11,9.8,Michelle MacLaren
15 September 2013,5,14,Ozymandias,48,6.37,10,Rian Johnson
22 September 2013,5,15,Granite State,55,6.58,9.7,Peter Gould
29 September 2013,5,16,Felina,55,10.28,9.9,Vince Gilligan
